address,key1,key2,key3
eip155:1:0xacE837f596029039E7eDd4789f9978259e1C3035,CoinShop,SHOP,
eip155:1:0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,BlockCAT,CAT,
eip155:1:0xf3db7560E820834658B590C96234c333Cd3D5E5e,CoinPoker,CHP,
eip155:1:0xaB456bDb0A373BBaC6C4A76176E9f159cAcD5752,Society of Galactic Exploration,SGE,
eip155:1:0x51DB5Ad35C671a87207d88fC11d593AC0C8415bd,Moeda Loyalty Points,MDA,
eip155:1:0xeca82185adCE47f39c684352B0439f030f860318,Perlin,PERL,
eip155:1:0xCbfef8fdd706cde6F208460f2Bf39Aa9c785F05D,KINE,KINE,
eip155:1:0xC72ED4445B3fe9f0863106E344E241530d338906,FLOGmall,MLC,
eip155:1:0x43044f861ec040DB59A7e324c40507adDb673142,Cap,CAP,
eip155:1:0xA9859874e1743A32409f75bB11549892138BBA1E,Synthetic Inverse Ether,iETH,
eip155:1:0x900dB999074d9277c5DA2A43F252D74366230DA0,Giveth,GIV,
eip155:1:0xBb1f24C0c1554b9990222f036b0AaD6Ee4CAec29,CryptoSoul,SOUL,
eip155:1:0xbf900809f4C73e5a3476eb183d8b06a27e61F8E5,Vanilla,VNL,
eip155:1:0x50DE6856358Cc35f3A9a57eAAA34BD4cB707d2cd,Razor Network,RAZOR,
eip155:1:0xe1aFe1Fd76Fd88f78cBf599ea1846231B8bA3B6B,Synthetic DeFi Index,sDEFI,
eip155:1:0x5A235C0b4cB8d0e80a5c3bF4d2faD5c32E440884,KONGZ Vault,KONGZ,
eip155:1:0x1712Aad2C773ee04bdC9114b32163c058321CD85,LimitSwap,LIMIT,
eip155:1:0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,Aave WBTC,aWBTC,
eip155:1:0xA967Dd943B336680540011536E7D8c3d33333515,Lugh,EURL,
eip155:1:0x47daC6BD80f024575a6d367aF5Ba8e89202A09fc,OXO.Farm,OXO,
eip155:1:0xf6c0aA7eBFE9992200C67E5388E4F42da49E1783,Psyche,USD1,
eip155:1:0xcA2796F9F61dc7b238Aab043971e49c6164DF375,YGGDRASH,YEED,
eip155:1:0x892B14321a4FCba80669aE30Bd0cd99a7ECF6aC0,Cream Cream,crCREAM,
eip155:1:0xBbE460dC4ac73f7C13A2A2feEcF9aCF6D5083F9b,Wick Finance,WICK,
eip155:1:0x23B608675a2B2fB1890d3ABBd85c5775c51691d5,Unisocks,SOCKS,
eip155:1:0xe9Dc63083c464d6EDcCFf23444fF3CFc6886f6FB,Curve oBTC Pool yVault,yvCurve-oBTC,
eip155:1:0x4c1C4957D22D8F373aeD54d0853b090666F6F9De,Silverway,SLV,
eip155:1:0x763Fa6806e1acf68130D2D0f0df754C93cC546B2,Lition,LIT,
eip155:1:0x557B933a7C2c45672B610F8954A3deB39a51A8Ca,REVV,REVV,
eip155:1:0x71F85B2E46976bD21302B64329868fd15eb0D127,Axion,AXN,
eip155:1:0x0391D2021f89DC339F60Fff84546EA23E337750f,BarnBridge,BOND,
eip155:1:0x38e4adB44ef08F22F5B5b76A8f0c2d0dCbE7DcA1,PowerPool Concentrated Voting Power,CVP,
eip155:1:0x7865af71cf0b288b4E7F654f4F7851EB46a2B7F8,Sentivate,SNTVT,
eip155:1:0xbc16da9df0A22f01A16BC0620a27e7D6d6488550,Percent,PCT,
eip155:1:0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,Pickle Finance,PICKLE,
eip155:1:0x219F4a1D142DFC564bD6e80c022cD29f3394A999,Wrapped Stellar,WXLM,
eip155:1:0x01da76DEa59703578040012357b81ffE62015C2d,Cream yETH,crYETH,
eip155:1:0x1c4b7d0e1885bd7667Af3378E0c538F74E712006,Playgroundz,IOG,
eip155:1:0x4a22A69E45AB29F9F7276B0267797474DAf1F27c,SUNI,SUNI,
eip155:1:0x8400D94A5cb0fa0D041a3788e395285d61c9ee5e,Unibright,UBT,
eip155:1:0x55d1d16fB42fCE47B899010c996a3a31f6db8fD6,Bully Inu,BINU,
eip155:1:0xEec2bE5c91ae7f8a338e1e5f3b5DE49d07AfdC81,Dopex,DPX,
eip155:1:0x4Ba6dDd7b89ed838FEd25d208D4f644106E34279,Vether,VETH,
eip155:1:0x903560b1CcE601794C584F58898dA8a8b789Fc5d,Cream Keep3rV1,crKP3R,
eip155:1:0xb78B3320493a4EFaa1028130C5Ba26f0B6085Ef8,Dracula Token,DRC,
eip155:1:0xEB9A4B185816C354dB92DB09cC3B50bE60b901b6,Origin Sport,ORS,
eip155:1:0x1494CA1F11D487c2bBe4543E90080AeBa4BA3C2b,DeFi Pulse Index,DPI,
eip155:1:0x4D807509aECe24C0fa5A102b6a3B059Ec6E14392,Menlo One,ONE,
eip155:1:0x628eBC64A38269E031AFBDd3C5BA857483B5d048,Liquid Staked ETH,LSETH,
eip155:1:0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359,Sai,SAI,
eip155:1:0x8E5610ab5E39d26828167640EA29823fe1dD5843,KanadeCoin,KNDC,
eip155:1:0xF4FaEa455575354d2699BC209B0a65CA99F69982,No BS Crypto,NOBS,
eip155:1:0xCC12AbE4ff81c9378D670De1b57F8e0Dd228D77a,Aave REN,aREN,
eip155:1:0xD8912C10681D8B21Fd3742244f44658dBA12264E,Pluton,PLU,
eip155:1:0xe0d2F5C883d5d470D16fa6dD73610bB4253577fF,MemeCoinUniverse,MCM,
eip155:1:0x374CB8C27130E2c9E04F44303f3c8351B9De61C1,Bao Finance,BAO,
